"Community Health Survey data - non-age adjusted, 2011-2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Self_Rep_Health,Self_Rep_Health_Rank,SRH 95%CI LL ,SRH 95%CI UL,Smoking,Smoking_Rank,Smoke 95%CI LL,Smoke 95%CI UL,Sugary_Drink,Sugary_Drink_Rank,ssb 95%CI LL,ssb 95%CI UL,Fruit_Veg,Fruit_Veg_Rank,fruitveg 95%CI LL,fruitveg 95%CI UL,Exercise,Exercise_Rank,Ex 95%CI LL,Ex 95%CI UL,Obesity,Obesity_Rank,Ob 95%CI LL,Ob 95%CI UL,Diabetes,Diabetes_Rank,Diab 95%CI LL,Diab 95%CI UL,Uninsured,Uninsured_Rank,Uninsured 95%CI LL,Uninsured 95%CI UL,Didnt_Get_Care,Didnt_Get_Care_Rank,DGC 95%CI LL,DGC 95%CI UL,Flu_Vaccination,Flu_Vaccination_Rank,Flu 95%CI LL,Flu 95%CI UL,HIV_Testing_Ever,HIV_Testing_Ever_Rank,HIV 95%CI LL,HIV 95%CI UL
0,NYC,78,n/a,77.7,79.2,16,n/a,14.8,16.2,27,n/a,26.3,28.0,88,n/a,87.0,88.2,77,n/a,76.4,77.9,24,n/a,22.9,24.4,10,n/a,9.7,10.8,20,n/a,19.1,20.7,11,n/a,10.4,11.6,39,n/a,38.5,40.3,62,n/a,61.5,63.3
1,Bronx,74,n/a,72.0,75.8,16,n/a,14.6,17.8,36,n/a,33.6,38.0,81,n/a,79.5,83.2,74,n/a,72.3,76.2,31,n/a,28.7,32.8,13,n/a,11.7,14.5,23,n/a,21.0,25.1,13,n/a,11.2,14.2,45,n/a,42.8,47.2,76,n/a,73.7,77.5
2,Brooklyn,76,n/a,74.4,77.3,16,n/a,14.5,17.1,27,n/a,25.7,28.9,86,n/a,85.2,87.7,75,n/a,73.8,76.8,27,n/a,25.1,28.2,11,n/a,10.1,12.2,21,n/a,19.2,22.2,12,n/a,10.5,12.8,35,n/a,33.6,36.9,61,n/a,59.5,62.9
3,Manhattan,84,n/a,82.0,84.9,15,n/a,13.1,16.2,20,n/a,18.1,21.7,91,n/a,89.8,92.2,84,n/a,82.4,85.4,15,n/a,14.1,16.9,7,n/a,5.8,7.3,15,n/a,13.7,17.1,10,n/a,9.0,11.6,43,n/a,40.6,44.7,67,n/a,64.9,68.8
4,Queens,79,n/a,77.8,80.6,15,n/a,13.3,16.0,27,n/a,25.8,29.2,90,n/a,88.4,90.7,76,n/a,74.1,77.2,21,n/a,19.9,22.8,10,n/a,9.5,11.4,22,n/a,20.9,24.1,11,n/a,9.6,11.8,38,n/a,36.7,40.2,56,n/a,54.0,57.6
5,Staten Island,83,n/a,80.6,85.1,20,n/a,17.5,23.0,28,n/a,24.9,31.0,89,n/a,86.5,90.7,78,n/a,75.1,80.4,30,n/a,27.0,32.9,10,n/a,8.7,12.4,11,n/a,9.1,13.9,8,n/a,6.4,10.0,39,n/a,36.5,42.5,47,n/a,43.6,50.1
101,Financial District,90,3,84.8,93.3,15,31,10.9,21.6,13,55,9.2,19.2,95,1,91.5,97.6,88,5,82.8,91.0,9,57,5.9,12.5,3,58,1.8,5.0,10,54,6.4,16.6,9,46,5.8,14.5,43,13,36.6,50.5,66,26,59.4,72.3
102,Greenwich Village and Soho,90,3,84.8,93.3,15,31,10.9,21.6,13,55,9.2,19.2,95,1,91.5,97.6,88,5,82.8,91.0,9,57,5.9,12.5,3,58,1.8,5.0,10,54,6.4,16.6,9,46,5.8,14.5,43,13,36.6,50.5,66,26,59.4,72.3
103,Lower East Side and Chinatown,72,46,65.2,78.1,17,21,11.6,23.9,22,41,16.2,29.3,93,7,89.1,95.6,80,12,74.7,85.0,12,53,8.6,15.9,11,31,8.3,14.4,17,37,12.2,23.6,12,25,7.7,17.0,43,16,36.1,50.3,62,35,54.5,69.4
104,Clinton and Chelsea,84,9,78.0,89.2,13,44,9.2,19.3,19,49,14.0,26.4,93,8,88.0,95.7,90,1,86.3,93.2,10,55,7.0,15.1,3,56,2.0,4.7,13,48,8.8,19.6,7,53,4.7,11.1,41,25,34.6,48.0,70,18,63.8,76.3
105,Midtown,84,9,78.0,89.2,13,44,9.2,19.3,19,49,14.0,26.4,93,8,88.0,95.7,90,1,86.3,93.2,10,55,7.0,15.1,3,56,2.0,4.7,13,48,8.8,19.6,7,53,4.7,11.1,41,25,34.6,48.0,70,18,63.8,76.3
106,Stuyvesant Town and Turtle Bay,91,2,86.1,93.6,13,48,7.9,21.4,12,58,7.4,19.4,94,4,87.0,96.9,86,8,79.3,90.4,8,59,5.6,12.4,3,55,2.0,5.3,10,57,5.9,15.8,8,52,5.0,13.9,41,24,34.2,48.6,60,39,51.9,68.1
107,Upper West Side,90,5,85.2,92.8,11,57,7.9,16.1,12,59,8.4,17.0,92,13,87.3,95.5,88,4,83.3,91.7,12,52,9.1,16.5,5,53,2.8,8.2,11,52,6.9,16.6,9,45,5.6,15.1,49,4,43.3,55.4,65,28,59.0,69.7
108,Upper East Side,92,1,87.6,95.2,14,36,10.2,19.7,13,57,9.2,18.9,93,5,89.0,96.1,87,7,82.6,90.7,11,54,7.5,15.4,4,54,2.1,7.6,11,50,7.5,17.1,5,59,3.3,7.9,47,6,40.6,52.5,59,42,52.5,64.4
109,Morningside Heights and Hamilton Heights,80,28,72.0,86.1,18,15,11.2,27.2,22,43,15.0,30.9,82,45,74.3,88.3,78,26,70.0,83.6,25,31,19.4,32.7,8,45,5.1,12.1,23,20,16.7,31.8,18,1,11.7,25.7,39,34,30.0,48.3,72,16,63.0,79.0
110,Central Harlem,83,17,77.1,87.0,18,14,12.7,25.0,31,25,24.8,38.6,88,32,81.9,91.9,79,17,72.3,84.2,28,25,22.1,35.7,12,20,8.8,16.7,20,32,12.9,28.5,11,31,7.2,16.5,41,27,33.6,48.8,79,8,72.6,85.0
111,East Harlem,70,52,63.3,76.5,19,9,13.8,26.0,34,18,26.6,42.4,83,44,75.3,88.1,77,31,69.2,82.6,33,6,26.3,40.1,12,21,8.7,16.8,25,10,18.7,33.0,11,26,7.3,17.4,41,22,33.8,49.1,77,12,69.5,83.0
112,Washington Heights and Inwood,74,44,68.3,78.5,12,55,8.2,16.9,32,24,25.6,38.4,89,25,84.3,92.2,78,20,72.9,83.0,22,39,17.3,27.1,9,39,7.1,11.6,22,24,16.6,28.3,16,4,11.7,21.6,36,46,30.1,41.7,71,17,64.3,76.3
